107098	14	105	400	471
108245	14	88	400	471
110456	14	143	400	471
112110	14	155	400	471
113403	14	32	400	471
114672	14	55	400	471
115925	14	44	400	471
117150	14	38	400	471
117632	14	1	400	471
117790	14	40	400	471
119106	14	41	400	471
122108	14	60	400	471
126608	14	51	400	471
130861	14	70	400	471
134773	14	91	400	471
137282	14	131	400	471
138075	14	140	400	471
139620	14	145	400	471
141929	14	142	400	471
142613	14	152	400	471
143405	14	1	400	471
145929	14	1	400	471
149780	14	1	400	471
153571	14	1	400	471
155322	14	4	400	471
156631	14	4	400	471
157185	14	4	400	471
157547	14	5	400	471
158996	14	74	400	471
160213	14	34	400	471
161676	14	40	400	471
167486	14	1	400	471
172503	14	1	400	471
176678	14	79	400	471
177515	14	58	400	471
177830	14	1	400	471
178321	14	1	400	471
179016	14	48	400	471
